Animal_ID,Species,Breed,Gender,Date_of_Birth,Current_Weight_kg,Daily_Feed_Intake_kg,Last_Vet_Visit_Date,Health_Status,Medication_Administered,Breeding_Status,Last_Breeding_Date,Number_of_Offspring
ANM_0001,Chicken,Native,Female,2021-03-12,4.41,0.21,2025-06-26,Healthy,,Pregnant,2024-09-08,0
ANM_0002,Chicken,Rhode Island Red,Female,2023-02-17,2.54,0.14,2025-06-26,Healthy,,Pregnant,2025-06-22,0
ANM_0003,Pig,Yorkshire,Male,2023-01-11,118.29,4.86,2025-06-26,Healthy,,Not Bred,,0
ANM_0004,Pig,Large White,Male,2020-07-18,255.94,10.42,2025-06-26,Healthy,,Not Bred,,0
ANM_0005,Sheep,Nali,Male,2025-04-12,7.07,0.18,2025-06-26,Healthy,,Not Bred,,0
ANM_0006,Chicken,Native,Female,2022-10-19,3.01,0.16,2025-06-26,Healthy,,Pregnant,2024-11-13,0
ANM_0007,Chicken,Rhode Island Red,Female,2021-08-04,4.17,0.2,2025-06-26,Healthy,,Bred,2025-05-31,0
ANM_0008,Sheep,Deccani,Male,2023-08-29,32.23,1.04,2025-06-26,Serious Illness,Anti-parasitic,Not Bred,,0
ANM_0009,Goat,Jamunapari,Male,2021-07-29,45.63,1.45,2025-06-26,Healthy,,Not Bred,,0
ANM_0010,Sheep,Nali,Female,2022-06-20,44.44,1.17,2025-06-26,Healthy,,Pregnant,2024-12-30,0
ANM_0011,Goat,Jamunapari,Male,2022-10-03,31.41,1.08,2025-06-26,Healthy,,Not Bred,,0
ANM_0012,Goat,Jamunapari,Male,2021-09-02,48.72,1.58,2025-06-26,Healthy,,Not Bred,,0
ANM_0013,Pig,Yorkshire,Male,2021-02-22,215.84,8.59,2025-06-26,Healthy,,Not Bred,,0
ANM_0014,Pig,Large White,Female,2021-03-14,222.19,8.73,2025-06-26,Healthy,,Not Bred,,0
ANM_0015,Chicken,Rhode Island Red,Female,2021-10-12,4.34,0.23,2025-06-26,Healthy,,Pregnant,2025-03-19,0
ANM_0016,Sheep,Deccani,Male,2025-05-09,6.11,0.12,2025-06-26,Mild Illness,Pain Reliever,Not Bred,,0
ANM_0017,Goat,Sirohi,Female,2024-12-02,16.88,0.52,2025-06-26,Healthy,,Pregnant,2025-02-10,0
ANM_0018,Pig,Landrace,Male,2023-05-13,93.28,3.71,2025-06-26,Healthy,,Not Bred,,0
ANM_0019,Sheep,Suffolk,Female,2023-06-25,25.67,0.61,2025-06-26,Healthy,,Not Bred,,0
ANM_0020,Goat,Black Bengal,Female,2022-07-14,32.58,0.95,2025-06-26,Healthy,,Lactating,2025-06-23,3
ANM_0021,Chicken,Native,Male,2023-02-13,2.1,0.11,2025-06-26,Healthy,,Not Bred,,0
ANM_0022,Sheep,Nali,Female,2020-10-15,64.22,1.71,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0023,Sheep,Merino,Female,2023-12-20,24.35,0.76,2025-06-26,Mild Illness,Anti-parasitic,Not Bred,,0
ANM_0024,Chicken,Leghorn,Female,2024-04-10,0.93,0.05,2025-06-26,Healthy,,Pregnant,2024-06-28,0
ANM_0025,Sheep,Suffolk,Female,2022-05-19,42.31,1.27,2025-06-26,Healthy,,Bred,2024-10-09,0
ANM_0026,Cattle,Ongole,Male,2020-11-20,521.84,10.4,2025-06-26,Healthy,,Not Bred,,0
ANM_0027,Cattle,Sahiwal,Female,2023-12-28,274.36,5.94,2025-06-26,Healthy,,Bred,2024-11-10,0
ANM_0028,Chicken,Plymouth Rock,Male,2020-10-26,4.86,0.25,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0029,Chicken,Plymouth Rock,Male,2021-09-22,4.1,0.2,2025-06-26,Healthy,,Not Bred,,0
ANM_0030,Goat,Sirohi,Female,2021-09-06,42.58,1.22,2025-06-26,Mild Illness,Pain Reliever,Not Bred,,0
ANM_0031,Sheep,Dorper,Male,2022-01-10,37.08,1.15,2025-06-26,Mild Illness,Pain Reliever,Not Bred,,0
ANM_0032,Cattle,Gir,Male,2024-11-13,162.85,3.31,2025-06-26,Healthy,,Not Bred,,0
ANM_0033,Cattle,Sahiwal,Male,2023-05-29,252.13,5.37,2025-06-26,Healthy,,Not Bred,,0
ANM_0034,Pig,Duroc,Female,2023-02-23,94.3,3.72,2025-06-26,Healthy,,Pregnant,2024-08-03,0
ANM_0035,Sheep,Dorper,Female,2023-07-12,23.16,0.73,2025-06-26,Healthy,,Not Bred,,0
ANM_0036,Chicken,Leghorn,Male,2024-11-25,1.31,0.07,2025-06-26,Healthy,,Not Bred,,0
ANM_0037,Goat,Jamunapari,Male,2022-08-15,36.27,1.15,2025-06-26,Healthy,,Not Bred,,0
ANM_0038,Sheep,Suffolk,Female,2024-11-23,9.93,0.37,2025-06-26,Healthy,,Not Bred,,0
ANM_0039,Cattle,Gir,Male,2020-11-04,575.48,12.12,2025-06-26,Healthy,,Not Bred,,0
ANM_0040,Cattle,Jersey,Female,2024-01-01,157.74,2.64,2025-06-26,Healthy,,Pregnant,2025-02-18,0
ANM_0041,Cattle,Ongole,Female,2023-03-10,253.95,5.44,2025-06-26,Healthy,,Pregnant,2024-11-09,0
ANM_0042,Sheep,Dorper,Female,2024-02-11,15.12,0.53,2025-06-26,Healthy,,Not Bred,,0
ANM_0043,Chicken,Plymouth Rock,Male,2021-01-08,4.2,0.22,2025-06-26,Healthy,,Not Bred,,0
ANM_0044,Cattle,Ongole,Female,2022-08-29,347.36,7.6,2025-06-26,Healthy,,Bred,2025-01-12,0
ANM_0045,Goat,Sirohi,Male,2024-03-01,21.95,0.7,2025-06-26,Healthy,,Not Bred,,0
ANM_0046,Sheep,Deccani,Male,2020-10-22,55.29,1.57,2025-06-26,Healthy,,Not Bred,,0
ANM_0047,Goat,Sirohi,Male,2021-09-20,44.41,1.33,2025-06-26,Serious Illness,Pain Reliever,Not Bred,,0
ANM_0048,Goat,Tellicherry,Male,2021-10-31,44.44,1.37,2025-06-26,Mild Illness,Anti-parasitic,Not Bred,,0
ANM_0049,Pig,Yorkshire,Female,2023-02-09,85.19,3.43,2025-06-26,Healthy,,Not Bred,,0
ANM_0050,Cattle,Gir,Male,2022-07-21,353.84,6.08,2025-06-26,Healthy,,Not Bred,,0
ANM_0051,Pig,Yorkshire,Female,2024-09-11,62.99,2.59,2025-06-26,Healthy,,Lactating,2024-08-18,1
ANM_0052,Sheep,Nali,Male,2022-07-18,30.97,0.91,2025-06-26,Healthy,,Not Bred,,0
ANM_0053,Sheep,Suffolk,Male,2025-03-24,2.0,0.1,2025-06-26,Healthy,,Not Bred,,0
ANM_0054,Sheep,Suffolk,Male,2022-05-29,30.12,0.89,2025-06-26,Healthy,,Not Bred,,0
ANM_0055,Chicken,Broiler,Male,2022-09-29,3.35,0.17,2025-06-26,Serious Illness,Antibiotic,Not Bred,,0
ANM_0056,Cattle,Holstein Friesian,Male,2024-01-09,164.28,3.13,2025-06-26,Serious Illness,Antibiotic,Not Bred,,0
ANM_0057,Sheep,Dorper,Female,2024-11-07,20.1,0.58,2025-06-26,Healthy,,Lactating,2024-06-28,4
ANM_0058,Chicken,Broiler,Male,2025-04-28,0.1,0.01,2025-06-26,Healthy,,Not Bred,,0
ANM_0059,Cattle,Holstein Friesian,Male,2020-11-29,547.17,11.0,2025-06-26,Healthy,,Not Bred,,0
ANM_0060,Cattle,Gir,Male,2021-02-24,476.52,9.26,2025-06-26,Healthy,,Not Bred,,0
ANM_0061,Cattle,Gir,Female,2024-10-14,171.29,3.95,2025-06-26,Healthy,,Not Bred,,0
ANM_0062,Chicken,Plymouth Rock,Female,2025-03-24,0.1,0.02,2025-06-26,Healthy,,Pregnant,2025-06-16,0
ANM_0063,Cattle,Holstein Friesian,Female,2023-01-10,264.34,4.73,2025-06-26,Healthy,,Not Bred,,0
ANM_0064,Pig,Duroc,Female,2021-07-31,191.22,7.88,2025-06-26,Healthy,,Bred,2024-12-31,0
ANM_0065,Goat,Tellicherry,Female,2021-10-17,41.85,1.34,2025-06-26,Healthy,,Not Bred,,0
ANM_0066,Sheep,Nali,Male,2022-08-09,37.16,1.12,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0067,Goat,Beetal,Male,2023-12-01,24.4,0.82,2025-06-26,Healthy,,Not Bred,,0
ANM_0068,Chicken,Broiler,Female,2024-06-01,0.7,0.03,2025-06-26,Healthy,,Bred,2025-01-09,0
ANM_0069,Pig,Landrace,Female,2022-04-08,173.76,6.97,2025-06-26,Serious Illness,Antibiotic,Bred,2024-07-03,0
ANM_0070,Sheep,Dorper,Female,2024-10-22,13.49,0.47,2025-06-26,Mild Illness,Vaccine,Pregnant,2024-07-06,0
ANM_0071,Goat,Beetal,Male,2022-04-22,41.44,1.2,2025-06-26,Healthy,,Not Bred,,0
ANM_0072,Goat,Jamunapari,Male,2025-02-19,3.74,0.1,2025-06-26,Healthy,,Not Bred,,0
ANM_0073,Pig,Yorkshire,Female,2025-05-05,11.82,0.5,2025-06-26,Healthy,,Not Bred,,0
ANM_0074,Goat,Beetal,Female,2024-04-15,19.17,0.57,2025-06-26,Healthy,,Pregnant,2024-09-06,0
ANM_0075,Cattle,Ongole,Male,2023-11-24,241.7,4.56,2025-06-26,Healthy,,Not Bred,,0
ANM_0076,Pig,Duroc,Female,2022-01-18,163.9,6.46,2025-06-26,Healthy,,Not Bred,,0
ANM_0077,Cattle,Gir,Male,2023-01-16,289.27,5.2,2025-06-26,Healthy,,Not Bred,,0
ANM_0078,Goat,Sirohi,Female,2024-03-22,24.11,0.78,2025-06-26,Healthy,,Not Bred,,0
ANM_0079,Sheep,Suffolk,Female,2024-01-28,17.57,0.52,2025-06-26,Serious Illness,Anti-parasitic,Lactating,2025-06-02,4
ANM_0080,Goat,Black Bengal,Male,2023-06-08,15.9,0.42,2025-06-26,Healthy,,Not Bred,,0
ANM_0081,Cattle,Ongole,Male,2022-09-20,343.39,6.65,2025-06-26,Healthy,,Not Bred,,0
ANM_0082,Pig,Yorkshire,Male,2020-09-16,262.24,10.36,2025-06-26,Healthy,,Not Bred,,0
ANM_0083,Goat,Tellicherry,Male,2022-06-12,29.12,0.97,2025-06-26,Healthy,,Not Bred,,0
ANM_0084,Sheep,Dorper,Female,2025-05-25,5.33,0.1,2025-06-26,Healthy,,Lactating,2024-11-18,5
ANM_0085,Cattle,Gir,Male,2023-07-12,248.25,4.73,2025-06-26,Healthy,,Not Bred,,0
ANM_0086,Pig,Large White,Male,2020-08-05,247.4,9.91,2025-06-26,Healthy,,Not Bred,,0
ANM_0087,Chicken,Rhode Island Red,Female,2020-11-23,4.95,0.22,2025-06-26,Healthy,,Lactating,2025-04-29,5
ANM_0088,Goat,Sirohi,Male,2021-02-25,40.89,1.24,2025-06-26,Healthy,,Not Bred,,0
ANM_0089,Chicken,Rhode Island Red,Female,2024-11-13,1.06,0.05,2025-06-26,Healthy,,Not Bred,,0
ANM_0090,Sheep,Deccani,Male,2024-03-18,18.06,0.49,2025-06-26,Healthy,,Not Bred,,0
ANM_0091,Chicken,Broiler,Female,2024-09-08,0.78,0.04,2025-06-26,Healthy,,Pregnant,2025-05-28,0
ANM_0092,Chicken,Leghorn,Female,2021-12-03,3.74,0.19,2025-06-26,Healthy,,Lactating,2025-05-20,5
ANM_0093,Cattle,Jersey,Male,2023-05-13,251.59,5.17,2025-06-26,Healthy,,Not Bred,,0
ANM_0094,Goat,Tellicherry,Female,2022-09-28,36.07,0.99,2025-06-26,Healthy,,Pregnant,2024-07-18,0
ANM_0095,Goat,Black Bengal,Female,2025-06-01,3.26,0.36,2025-06-26,Healthy,,Pregnant,2024-07-02,0
ANM_0096,Goat,Sirohi,Male,2021-08-26,45.52,1.37,2025-06-26,Healthy,,Not Bred,,0
ANM_0097,Cattle,Gir,Male,2024-02-29,174.9,2.62,2025-06-26,Healthy,,Not Bred,,0
ANM_0098,Cattle,Gir,Male,2022-09-04,341.04,7.21,2025-06-26,Healthy,,Not Bred,,0
ANM_0099,Goat,Beetal,Female,2024-05-20,2.96,0.11,2025-06-26,Healthy,,Pregnant,2025-03-16,0
ANM_0100,Pig,Large White,Male,2024-05-22,61.66,2.47,2025-06-26,Healthy,,Not Bred,,0
ANM_0101,Pig,Large White,Female,2025-06-03,16.89,0.61,2025-06-26,Healthy,,Not Bred,,0
ANM_0102,Sheep,Nali,Male,2020-11-05,50.51,1.59,2025-06-26,Healthy,,Not Bred,,0
ANM_0103,Pig,Yorkshire,Female,2023-12-11,109.11,4.43,2025-06-26,Healthy,,Not Bred,,0
ANM_0104,Pig,Duroc,Female,2024-06-16,51.5,1.57,2025-06-26,Healthy,,Pregnant,2024-08-06,0
ANM_0105,Cattle,Gir,Female,2024-03-07,188.53,3.38,2025-06-26,Healthy,,Pregnant,2024-09-14,0
ANM_0106,Sheep,Deccani,Male,2020-09-21,55.19,1.42,2025-06-26,Healthy,,Not Bred,,0
ANM_0107,Pig,Large White,Female,2023-11-22,109.66,4.5,2025-06-26,Healthy,,Not Bred,,0
ANM_0108,Cattle,Gir,Male,2025-05-15,40.5,1.48,2025-06-26,Healthy,,Not Bred,,0
ANM_0109,Cattle,Jersey,Male,2023-02-26,276.9,5.04,2025-06-26,Healthy,,Not Bred,,0
ANM_0110,Sheep,Merino,Male,2025-06-13,8.07,0.12,2025-06-26,Healthy,,Not Bred,,0
ANM_0111,Chicken,Rhode Island Red,Male,2021-12-25,4.27,0.21,2025-06-26,Healthy,,Not Bred,,0
ANM_0112,Chicken,Plymouth Rock,Female,2021-01-24,3.7,0.18,2025-06-26,Healthy,,Not Bred,,0
ANM_0113,Cattle,Holstein Friesian,Female,2020-11-26,570.03,11.6,2025-06-26,Healthy,,Not Bred,,0
ANM_0114,Goat,Beetal,Male,2022-12-15,37.66,1.1,2025-06-26,Healthy,,Not Bred,,0
ANM_0115,Goat,Beetal,Male,2020-10-15,58.44,1.58,2025-06-26,Healthy,,Not Bred,,0
ANM_0116,Pig,Duroc,Female,2020-12-26,280.09,11.07,2025-06-26,Healthy,,Lactating,2025-02-09,5
ANM_0117,Chicken,Leghorn,Male,2022-09-11,3.0,0.15,2025-06-26,Healthy,,Not Bred,,0
ANM_0118,Goat,Tellicherry,Female,2023-07-21,17.85,0.59,2025-06-26,Healthy,,Bred,2025-02-11,0
ANM_0119,Cattle,Ongole,Male,2024-04-13,121.47,3.34,2025-06-26,Healthy,,Not Bred,,0
ANM_0120,Pig,Landrace,Female,2023-03-31,125.11,5.3,2025-06-26,Healthy,,Not Bred,,0
ANM_0121,Pig,Landrace,Female,2024-02-07,46.21,1.9,2025-06-26,Healthy,,Not Bred,,0
ANM_0122,Pig,Large White,Male,2020-10-11,262.08,10.55,2025-06-26,Healthy,,Not Bred,,0
ANM_0123,Sheep,Dorper,Female,2025-04-17,2.0,0.1,2025-06-26,Healthy,,Lactating,2025-04-12,2
ANM_0124,Goat,Tellicherry,Male,2025-05-25,2.6,0.12,2025-06-26,Healthy,,Not Bred,,0
ANM_0125,Pig,Landrace,Female,2022-01-06,165.93,6.58,2025-06-26,Healthy,,Pregnant,2025-05-27,0
ANM_0126,Cattle,Jersey,Female,2025-04-14,52.11,1.0,2025-06-26,Mild Illness,Anti-parasitic,Pregnant,2025-05-05,0
ANM_0127,Sheep,Suffolk,Male,2022-03-11,31.59,1.0,2025-06-26,Mild Illness,Pain Reliever,Not Bred,,0
ANM_0128,Chicken,Rhode Island Red,Female,2024-01-21,1.25,0.06,2025-06-26,Healthy,,Not Bred,,0
ANM_0129,Goat,Jamunapari,Female,2022-02-09,29.79,0.99,2025-06-26,Healthy,,Lactating,2025-01-31,1
ANM_0130,Cattle,Ongole,Female,2025-05-09,20.93,1.2,2025-06-26,Healthy,,Lactating,2024-12-22,5
ANM_0131,Sheep,Deccani,Male,2022-05-15,37.83,1.07,2025-06-26,Healthy,,Not Bred,,0
ANM_0132,Chicken,Broiler,Male,2025-03-17,0.1,0.01,2025-06-26,Healthy,,Not Bred,,0
ANM_0133,Chicken,Broiler,Female,2023-10-07,2.34,0.12,2025-06-26,Healthy,,Not Bred,,0
ANM_0134,Pig,Large White,Female,2024-09-04,79.33,2.97,2025-06-26,Healthy,,Not Bred,,0
ANM_0135,Sheep,Dorper,Male,2022-10-12,31.04,0.95,2025-06-26,Healthy,,Not Bred,,0
ANM_0136,Sheep,Suffolk,Male,2023-03-20,20.6,0.51,2025-06-26,Healthy,,Not Bred,,0
ANM_0137,Pig,Yorkshire,Male,2024-12-28,63.9,2.44,2025-06-26,Healthy,,Not Bred,,0
ANM_0138,Goat,Black Bengal,Female,2024-02-06,14.09,0.17,2025-06-26,Healthy,,Not Bred,,0
ANM_0139,Sheep,Deccani,Female,2025-03-17,9.51,0.28,2025-06-26,Mild Illness,Antibiotic,Not Bred,,0
ANM_0140,Pig,Large White,Male,2021-01-06,203.54,7.9,2025-06-26,Healthy,,Not Bred,,0
ANM_0141,Sheep,Nali,Female,2024-08-15,9.78,0.38,2025-06-26,Healthy,,Not Bred,,0
